name,latitude,longitude
Herbal Remedies Caregivers,34.295407,-118.41233999999999
Venice Medical Center,34.019607543945305,-118.39566040039062
DTPG Downtown Patient Group,34.026540000000004,-118.23878
KushCab Delivery,34.049009999999996,-118.28623
Uplyft LA,34.0448,-118.43220500000001
Firehouse 365,33.9829135,-118.1860701
University 20 Cap,34.020270000000004,-118.27578000000001
CBD on Abbot,33.988659999999996,-118.45258000000001
Pot Valet,34.2322723,-118.5792364
Cookies Melrose,34.08336,-118.37236999999999
Super Supreme OG,34.057903,-118.30183400000001
Compassion Union,34.0707703,-118.3756409
Da Green Corner,34.0293617248535,-118.285255432129
Westside Botanicals,33.998695,-118.4285243
The Pottery,34.03348,-118.47366000000001
Caliva Delivery,34.0656,-118.34983999999999
Pacific Organic,34.14918,-118.4106
Catalyst Cannabis - Cherry,33.8150537,-118.16666311534401
LA Crown Collective,33.97497,-118.25129
Angel’s Kush Cannabis Delivery,34.063148999999996,-118.29858300000001
Curb Delivery,34.02945,-118.35493999999998
Haven - Maywood,33.988258,-118.194824
OG EXPRESS,33.89633,-118.3271
Kanep CBD,34.090558,-118.369396
The Circle,33.78905,-118.13945
CanEx Delivery,34.0236878,-118.39002040000001
Shivas Dtla,34.03679,-118.26325
Ktown Kush,34.069264000000004,-118.30203999999999
PAC LA,34.15925,-118.37087199999999
Field Of Dreams,34.05025,-118.43777
LA Cannabis Co - La Brea,34.04546,-118.34576000000001
Royal Greens LA,34.041146999999995,-118.35030900000001
Best of Buddha Whittier,33.972409999999996,-118.07091000000001
iLyfted Noho,34.194126000000004,-118.386762
The Cannabis Method,34.03313,-118.43871999999999
iLyfted,34.150135,-118.37994099999999
Semilla_HRC,34.209359899999995,-118.36263999999998
Green Village,34.03204,-118.3842
The Clinik,34.232374,-118.579252
Leaf and Lion,33.88154,-118.16253999999999
Los Angeles Farmers,34.027359999999994,-118.25301999999999
Melrose Place 25 Cap,34.083759,-118.32350149999999
High Flyers CA,33.76041,-118.13276
Pot Shop,34.0713001,-118.30925490000001
BeKind Meds,34.098209999999995,-118.35238999999999
Caña Sylmar,34.31007833,-118.42798667
VIP LA Delivery,34.1007080078125,-118.32813262939501
California Cannabis Soto,34.02084,-118.22057
The Plug LA,34.025786,-118.24165900000001
Med City Delivery,34.1007080078125,-118.32813262939452
AFFCO DELIVERY,34.125946044921896,-118.291015625
The House Of Ounces,34.03864,-118.26136000000001
Happy Green Delivery,34.18541,-118.38779
Kushy Delivery,34.0029134,-118.4156558
Kush Slingerz,33.993012,-118.316626
HiGH inventory,34.1522560119629,-118.444999694824
MMD Marina Del Rey,33.992108,-118.44366799999999
The Hotbox In Hawthorne,33.90708,-118.36157
Long Beach Wellness Center,33.8101,-118.11693000000001
High Season,34.025568,-118.232876
OG Central,33.97732,-118.25608999999999
Kush Mobile,34.064689636230504,-118.382843017578
Mai Collective,34.0401396,-118.3082272
Lab Rats Mobile Service,34.0597915649414,-118.310844421387
Marijuana Strains Store,34.055459899999995,-118.27788999999999
Cookies Los Angeles,33.9896575258706,-118.203731884656
The Dub Club,34.18618,-118.44915
Alhambra Collective 20 Cap,34.092890000000004,-118.16245
High Life Group,33.98622,-118.27864
Marijuana Delivery Service,34.04625,-118.25287
Starbuds,34.07680017,-118.25853267
Terp Science Labs,34.047338,-118.245524
HMF CULTURE,34.083859999999994,-118.21375900000001
Bak’d Flowers,34.04647,-118.43395
420Weedkeef,34.0161098854751,-118.49539093673201
Cannabis Releaf,34.122054505138394,-118.29358924180299
Strainzzz On Slauson,33.989090000000004,-118.25128000000001
MedEX,34.02697,-118.20962
Spliffee,34.067676544189446,-118.34990692138672
GetWeedLA,34.25147,-118.37317
24 7 Marijuana Delivery,34.0616751,-118.28724009999998
Crown Genetics Delivery,34.147716522216804,-118.467269897461
Jamie's Weed Delivery,34.029737700000005,-118.4506077
Alhambra Green Stop 20 Cap,34.079188,-118.16358079999999
The Green Dot,33.98704,-118.44411399999998
Green State University 20 cap,34.02541333,-118.27089833
Blue Dream Dispensary,34.076454999999996,-118.2986595
Tree House,34.1757011413574,-118.848091125488
Mind Kontrol Delivery Service,34.0426712036133,-118.25088500976601
Los Angeles Green Street,34.03758017,-118.25752517
Korner Town,34.0473449664072,-118.28738679532101
ASAP Budz,34.22766,-118.44616
Hemp CBD wellness Center,34.06241,-118.2365
Splitbud,34.10665,-118.3651
Arts District Cannabis Collective,34.0258621153614,-118.233082213054
Mai Fire Buds1 420 MMJ Cannabis Marijuana Delivery,34.1848754882812,-118.601669311523
Lights Out 20 Cap,33.88146,-118.29064
The 710 Club,33.88187,-118.29111999999999
831 Organiks,34.0489812,-118.2589574
Cannabis Corner,34.0546295,-118.32235883
SFV Delivers,34.253440000000005,-118.60081000000001
Harvest Moon Dispensables,34.0464706420898,-118.43395233154301
Nug Depot,33.975120000000004,-118.32621999999999
Garden of Wellness,34.05097883,-118.34462117
Deals On Wheels,34.1940771815582,-118.38664244860406
American Cannabis Company,33.98814,-118.47461000000001
West Coast Clones,33.8439445495605,-117.941757202148
High Maintenance LA,34.03732,-118.26116
Grub Kush Delivery,34.120189666748,-118.287124633789
GrassDoor Marijuana Delivery,34.00042833,-118.16122333
Vybes,34.08879,-118.37803000000001
Exclusive Caregivers Of California,33.983000000000004,-118.31456999999999
HHC Plus,34.019729999999996,-118.23974
Crenshaw Caregivers,33.98885,-118.33386999999999
20Collective,33.960409999999996,-118.24054
Citadel Church of Crenshaw 15 Cap,33.896243,-118.327097
Fast and Friendly,34.102294921875,-118.414672851562
American Cannabis,34.038270000000004,-118.34865667
Super Buds,33.992939,-118.323205
420 Nature Aid,33.970001220703104,-118.37628173828101
Rick Daps,34.061717987060554,-118.3027572631836
Smokahontas 25 Cap,34.053727,-118.35523799999999
Infinite Wellness 20 Cap,33.996848,-118.278527
Mendo Bros,34.04533,-118.24456
Broadway LA Dispensary 25 Cap,33.95166,-118.27783000000001
CanEx - Los Angeles,34.00566,-118.25849
The Plug 20 Cap Collective,33.9743,-118.3168
Green Mile,34.156063079834,-118.34368896484399
Clique Cannabis,33.9807,-118.17223999999999
Nursery's Best MMJ Delivery,33.96159,-118.16139
Harris OG,34.09997,-118.32686000000001
Green Goat Collective,34.011963,-118.27734699999999
CHC 7G 8th,34.01766,-118.24386000000001
Top Shelf LA,34.00035,-118.29133999999999
Five Star Collective,33.9455849,-118.316414
Nji Weed Shop,34.02112,-118.37266899999999
Bud Cellar,34.16495,-118.37203000000001
Flora's Remedy Delivery,34.0643501281738,-118.43708801269501
Downtown Buyers Club,34.023582,-118.2446988
Boss Kush,34.046982,-118.24946299999999
Pineapple Express Dispensary,34.0500501,-118.30891509999998
BudExpress Delivery,34.165420000000005,-118.37246999999999
The Pottery Delivery,34.1110495,-118.2872851
High Society Wellness Center 20 Cap,34.05677,-118.20831000000001
Weed Delivery,34.13713,-118.26078000000001
UC Buds 20 Cap,34.02283,-118.26073000000001
Jack Canna,34.0242671,-118.23910390000002
OG Western,33.96242,-118.30933
Blvck Label Cannabis,34.04867,-118.33386000000002
Blowing Trees,34.0286,-118.20085
Purecannastore,34.03363167,-118.18435500000001
Venice Buds Delivery,34.02875,-118.47179750000001
Culver City Associates,34.03053,-118.37986000000001
Club Lit,33.99197667,-118.06778167
Shatter Wax Sale,34.061014,-118.413779
United Health Care Center,33.987218,-118.238018
Rocket Buds,34.033204,-118.308128
Marijuana Legal Shop,33.990564,-118.46643999999999
Green Gears 20 Cap,33.93739117,-118.29225083
CanEx - Santa Monica,34.0300788879395,-118.50919342041
Dank Stop,33.980194,-118.27349
Dianamaam,34.021142,-118.372674
Trees Pot Shop,34.04124,-118.23775
DAZE Delivery - Central LA,34.1007080078125,-118.32813262939501
Bud Marijuana Delivery,34.068764,-118.305829
Mjplug4,34.052238464355504,-118.24334716796899
Eaze,34.1773,-118.30961
710 Frat House,33.96298,-118.26923000000001
Milla Weed House,34.02112,-118.37266899999999
Highland Delivery,34.029109954834,-118.283065795898
WisdomKush,34.02410833,-118.23855333
Cannabis Delivery Service,34.16835,-118.20194
Green Land Shop,34.058,-118.42246000000002
CanEx - Burbank,34.1615135,-118.34035060000001
EZ Custom Packaging,34.0469234,-118.24419520000001
Giving Greens Delivery,33.9740867614746,-118.24983215331999
Originals Factory & Weed Shop,33.981015,-118.26258
Stiiizy Weed Delivery - Burbank,34.177623748779304,-118.30722045898399
CEAS LA,34.0943412780762,-118.381484985352
Fast Buds Organic,34.0925944578959,-118.375811828533
OCBUDZZ,33.835347,-117.959282
The Gas Station,34.19677,-118.4924
Spectwonders,33.90323,-118.20291200000001
Real Monster Delivery,34.0672647049,-118.000235195
Khonsu's Collective,34.1015586853027,-118.33708190918001
Cannacureshop,34.083442,-118.350931
Charisma Club 420,34.06906420000001,-117.638465
The Syndicate,33.98865,-118.23307
Level Up 25 Cap,33.98868,-118.33868999999999
Rolling Up Delivery Services,34.07192,-118.01323000000001
The Blue Diamond Center,34.155159999999995,-118.34302
Reefer Madness Clone Company,33.8335800170898,-117.847023010254
McLeonel dispensary,33.90064,-117.45584
